R,R,R Company,R Website,R Sally Company,R Sally Website,R Stop-list Link,R Stop-list Company,R Pipe Link,R Pipe Company,ICP,Company,Website,Score,Reasoning,Notes
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,IDMnet,idmnet.pl,,"A programmatic ad network specializing in PMP solutions for publishers, offering video content integration and IAB-certified analytics for 130+ local sites.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,MediaXchange,mediaxchange.co,,A global programmatic ad exchange offering real-time bidding with CPC/CPM pricing and dedicated support for publishers and advertisers.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,PWR-ADS,pwr-ads.com,,"A programmatic advertising platform offering CTV, in-app, and mobile ads with real-time bidding and premium publisher inventory for high-performance campaigns.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,IngoPlay Limited,ingoplay.com,,"A programmatic ad tech platform offering header bidding for publishers and AI-powered targeting for advertisers, with white-label solutions for enterprises.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adspot,adspot.tech,,"Independent programmatic ad platform offering premium publisher access and end-to-end campaign management for audio, video, and CTV ads with real-time optimization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,MEGA INTERACTIVE,mega-click.io,,A programmatic ad exchange platform offering real-time bidding and first-party publisher inventory with gaming app monetization and SEO-optimized targeting.,Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Collectcent,collectcent.com,,"A programmatic ad platform using RTB for mobile/desktop ads, offering CPI/CPL models with AI fraud detection and global inventory targeting.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Ads Interactive Media Group,adsinteractive.com,,"A Google MCM-certified publisher platform offering premium rich media ads and header bidding with 35+ SSPs, focusing on viewability and brand safety.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,TripleLift,triplelift.com,,"A creative-focused programmatic ad platform offering premium inventory, AI-powered audience targeting, and innovative ad formats for web, CTV, and retail media.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Uswa Ads,uswa-ads.com,,"A programmatic ad monetization platform offering header bidding, AMP solutions, and AI video monetization for websites and mobile apps with 24/7 publisher support.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Lijit,lijit.com,,"A global ad exchange connecting publishers with third-party solutions for display, video, and mobile ads, offering private marketplaces and yield optimization.",Ad Network (Lookalike TrafficStars)
FALSE,FALSE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,Adlive,adlive.io,,"A programmatic adtech platform connecting media buyers directly to publishers for brand-safe inventory, offering guaranteed video ads and cross-channel targeting.",Ad Network (Lookalike TrafficStars)
FALSE,TRUE,1,1,Уникальный,Уникальный,#N/A,#N/A,#N/A,#N/A,Ad Tech,PubNative (Now Verve),pubnative.net,,"A mobile ad platform offering cross-format optimization and low-latency S2S integration for publishers, with support for 150+ demand partners and performance-focused ad formats.",Ad Network (Lookalike TrafficStars)
